date,canada,us
2020/12,0.12366666666666666,0.034999999999999996
2021/01,-0.03833333333333333,0.042
2021/02,0.15333333333333335,0.0040000000000000036
2021/03,0.044333333333333336,0.0746666666666667
2021/04,0.145,0.04350000000000004
2021/05,0.12033333333333333,0.15900000000000003
2021/06,0.03833333333333333,-0.03833333333333333
2021/07,0.029333333333333322,0.05033333333333334
2021/08,-0.03700000000000003,0.011333333333333306
2021/09,0.017666666666666647,0.05766666666666668
2021/10,0.12666666666666668,0.020333333333333314
2021/11,0.0706666666666667,0.05866666666666668
2021/12,0.1496666666666667,0.06800000000000002
