date,vader_compound_score,vader_positive_ratio,vader_negative_ratio
2020/12,0.3230666666666666,0.08433333333333333,0.044333333333333336
2021/01,-0.3325666666666667,0.062,0.084
2021/02,-0.03313333333333335,0.06999999999999999,0.073
2021/03,0.33113333333333334,0.083,0.053
2021/04,0.9778,0.08199999999999999,0.0265
2021/05,-0.01094999999999996,0.089,0.07
2021/06,-0.2891,0.05966666666666667,0.063
2021/07,-0.9636666666666667,0.06366666666666666,0.08733333333333333
2021/08,0.3103,0.064,0.050333333333333334
2021/09,-0.11553333333333334,0.063,0.051
2021/10,0.6683333333333333,0.077,0.064
2021/11,-0.1926,0.05866666666666667,0.06566666666666666
2021/12,0.6556333333333333,0.09500000000000001,0.07166666666666667
